X,unigram,unifreq,prob
329,wanted,6365,9.39469907287424e-06
330,else,6358,9.38436711788444e-06
331,almost,6327,9.33861131721529e-06
332,finally,6315,9.32089939437562e-06
333,change,6267,9.25005170301695e-06
334,party,6236,9.20429590234781e-06
335,room,6235,9.20281990877783e-06
336,whole,6224,9.18658397950814e-06
337,win,6222,9.18363199236819e-06
338,probably,6164,9.0980243653098e-06
339,doesn,6160,9.09212039102991e-06
340,heart,6151,9.07883644890015e-06
341,idea,6150,9.07736045533018e-06
342,looks,6146,9.07145648105029e-06
343,won,6110,9.01832071253129e-06
344,birthday,6077,8.9696129247222e-06
345,excited,6071,8.96075696330236e-06
346,forward,6037,8.9105731819233e-06
347,following,5999,8.85448542626435e-06
348,state,5979,8.82496555486491e-06
349,tweet,5950,8.7821617413357e-06
350,later,5939,8.76592581206601e-06
351,seen,5920,8.73788193423653e-06
352,com,5907,8.71869401782689e-06
353,ago,5835,8.61242248078888e-06
354,stay,5831,8.60651850650899e-06
355,hours,5812,8.57847462867952e-06
356,thinking,5802,8.56371469297979e-06
357,small,5786,8.54009879586023e-06
358,thats,5734,8.46334713022167e-06
359,past,5722,8.445635207382e-06
360,early,5721,8.44415921381203e-06
361,class,5713,8.43235126525225e-06
362,able,5704,8.4190673231225e-06
363,shit,5695,8.40578338099275e-06
364,white,5690,8.39840341314288e-06
365,sorry,5676,8.37773950316327e-06
366,second,5645,8.33198370249413e-06
367,guy,5638,8.32165174750432e-06
368,under,5625,8.30246383109468e-06
369,using,5618,8.29213187610487e-06
370,taking,5609,8.27884793397512e-06
371,less,5586,8.24490008186576e-06
372,word,5584,8.24194809472581e-06
373,fact,5564,8.21242822332636e-06
374,ok,5560,8.20652424904647e-06
375,face,5558,8.20357226190653e-06
376,care,5516,8.14158053196769e-06
377,season,5513,8.13715255125777e-06
378,stuff,5508,8.12977258340791e-06
379,cant,5486,8.09730072486852e-06
380,baby,5485,8.09582473129855e-06
381,side,5479,8.08696876987871e-06
382,enjoy,5474,8.07958880202885e-06
383,hit,5457,8.05449691133932e-06
384,others,5452,8.04711694348945e-06
385,mom,5440,8.02940502064979e-06
386,news,5400,7.97036527785089e-06
387,black,5394,7.96150931643106e-06
388,support,5380,7.94084540645144e-06
389,minutes,5373,7.93051345146164e-06
390,song,5314,7.84342983083327e-06
391,against,5309,7.8360498629834e-06
392,sometimes,5309,7.8360498629834e-06
393,comes,5304,7.82866989513354e-06
394,playing,5289,7.80652999158396e-06
395,summer,5283,7.79767403016412e-06
396,sleep,5282,7.79619803659415e-06
397,half,5269,7.77701012018451e-06
398,children,5268,7.77553412661454e-06
399,reading,5266,7.77258213947459e-06
400,business,5261,7.76520217162473e-06
401,ask,5252,7.75191822949498e-06
402,movie,5246,7.74306226807514e-06
403,weeks,5240,7.73420630665531e-06
404,words,5225,7.71206640310573e-06
405,guess,5206,7.68402252527625e-06
406,feeling,5200,7.67516656385641e-06
407,bring,5185,7.65302666030683e-06
408,quite,5174,7.63679073103713e-06
409,glad,5129,7.57037102038837e-06
410,needs,5109,7.54085114898893e-06
411,phone,5082,7.50099932259967e-06
412,talking,5073,7.48771538046992e-06
413,leave,5034,7.430151631241e-06
414,heard,5016,7.40358374698149e-06
415,line,5003,7.38439583057185e-06
416,hot,5002,7.38291983700188e-06
417,however,4999,7.37849185629197e-06
418,along,4983,7.35487595917241e-06
419,month,4935,7.28402826781373e-06
420,seems,4916,7.25598438998426e-06
421,welcome,4906,7.24122445428453e-06
422,writing,4903,7.23679647357462e-06
423,wrong,4902,7.23532048000464e-06
424,water,4873,7.19251666647544e-06
425,means,4870,7.18808868576553e-06
426,perfect,4858,7.17037676292586e-06
427,car,4851,7.16004480793605e-06
428,often,4842,7.1467608658063e-06
429,couple,4830,7.12904894296663e-06
430,hand,4809,7.09805307799721e-06
431,become,4745,7.00358948951898e-06
432,buy,4715,6.95930968241981e-06
433,meet,4705,6.94454974672008e-06
434,women,4685,6.91502987532063e-06
435,either,4683,6.91207788818069e-06
436,wow,4654,6.86927407465149e-06
437,young,4641,6.85008615824185e-06
438,crazy,4640,6.84861016467188e-06
439,lost,4631,6.83532622254213e-06
440,eat,4617,6.81466231256251e-06
441,instead,4599,6.78809442830301e-06
442,gets,4579,6.75857455690356e-06
443,late,4575,6.75267058262367e-06
444,ya,4575,6.75267058262367e-06
445,mother,4573,6.74971859548373e-06
446,case,4568,6.74233862763387e-06
447,video,4565,6.73791064692395e-06
448,goes,4557,6.72610269836417e-06
449,red,4554,6.72167471765425e-06
450,share,4543,6.70543878838456e-06
451,sweet,4535,6.69363083982478e-06
452,moment,4522,6.67444292341514e-06
453,add,4509,6.65525500700549e-06
454,number,4494,6.63311510345591e-06
455,reason,4487,6.6227831484661e-06
456,months,4483,6.61687917418621e-06
457,didnt,4478,6.60949920633635e-06
458,special,4464,6.58883529635674e-06
459,saying,4463,6.58735930278677e-06
460,hour,4462,6.58588330921679e-06
461,list,4461,6.58440731564682e-06
462,easy,4460,6.58293132207685e-06
463,asked,4438,6.55045946353746e-06
464,rather,4420,6.52389157927795e-06
465,girls,4407,6.50470366286831e-06
466,turn,4398,6.49141972073856e-06
467,isn,4389,6.47813577860881e-06
468,men,4389,6.47813577860881e-06
469,books,4387,6.47518379146886e-06
470,funny,4356,6.42942799079972e-06
471,wanna,4354,6.42647600365977e-06
472,sounds,4348,6.41762004223994e-06
473,light,4347,6.41614404866997e-06
474,yourself,4342,6.40876408082011e-06
475,close,4337,6.40138411297024e-06
476,important,4329,6.38957616441047e-06
477,knew,4328,6.38810017084049e-06
