fourgram,fourfreq,predictor,fivefreq,prob
everyone_who_came_out,85,to,40,0.470588235294118
get_in_the_way,54,of,40,0.740740740740741
if_you_are_going,52,to,40,0.769230769230769
is_the_best_way,50,to,40,0.8
know_if_you_have,68,any,40,0.588235294117647
to_go_back_to,233,the,40,0.171673819742489
want_to_be_able,40,to,40,1
a_smile_on_my,41,face,39,0.951219512195122
it_seems_to_me,57,that,39,0.68421052631579
on_my_way_to,355,work,39,0.109859154929577
so_much_for_the,251,rt,39,0.155378486055777
we_can't_wait_to,91,see,39,0.428571428571429
you_know_what_that,49,means,39,0.795918367346939
cant_wait_to_see,141,you,38,0.269503546099291
if_you_don't_have,118,a,38,0.322033898305085
is_the_only_way,69,to,38,0.550724637681159
president_of_the_united,40,states,38,0.95
today_was_a_good,42,day,38,0.904761904761905
a_great_time_at,79,the,37,0.468354430379747
for_those_of_you,204,that,37,0.181372549019608
hope_all_is_well,226,with,37,0.163716814159292
i_have_no_idea,134,what,37,0.276119402985075
if_you_are_looking,59,for,37,0.627118644067797
in_such_a_way,62,that,37,0.596774193548387
to_take_a_look,53,at,37,0.69811320754717
to_the_bottom_of,58,the,37,0.637931034482759
want_to_go_back,63,to,37,0.587301587301587
was_one_of_the,278,first,37,0.133093525179856
we_are_looking_forward,37,to,37,1
we_have_a_lot,54,of,37,0.685185185185185
what_are_you_doing,243,to,37,0.152263374485597
would_mean_the_world,45,to,37,0.822222222222222
be_a_part_of,215,it,36,0.167441860465116
been_a_long_time,91,since,36,0.395604395604396
don't_want_to_go,64,to,36,0.5625
due_to_the_fact,45,that,36,0.8
from_all_over_the,71,world,36,0.507042253521127
hope_everyone_has_a,107,great,36,0.336448598130841
hope_you_had_a,183,good,36,0.19672131147541
make_sure_to_check,51,out,36,0.705882352941177
off_to_a_great,39,start,36,0.923076923076923
over_and_over_and,50,over,36,0.72
over_the_past_few,84,years,36,0.428571428571429
spend_a_lot_of,42,time,36,0.857142857142857
thank_you_for_all,135,your,36,0.266666666666667
thanks_so_much_for,357,your,36,0.100840336134454
the_united_states_of,43,america,36,0.837209302325582
to_see_you_at,97,the,36,0.371134020618557
today_is_the_last,37,day,36,0.972972972972973
when_are_you_going,47,to,36,0.765957446808511
would_love_to_see,169,you,36,0.21301775147929
you_have_no_idea,92,how,36,0.391304347826087
at_the_end_of,945,a,35,0.037037037037037
at_the_time_of,91,the,35,0.384615384615385
by_the_end_of,288,this,35,0.121527777777778
for_the_first_time,884,this,35,0.0395927601809955
i_think_i'm_going,38,to,35,0.921052631578947
in_the_history_of,103,the,35,0.339805825242718
in_the_next_few,87,days,35,0.402298850574713
is_just_around_the,36,corner,35,0.972222222222222
is_right_around_the,37,corner,35,0.945945945945946
it_was_a_lot,47,of,35,0.74468085106383
it_was_so_much,43,fun,35,0.813953488372093
looking_forward_to_a,122,great,35,0.286885245901639
on_the_back_of,97,the,35,0.360824742268041
on_the_way_to,180,the,35,0.194444444444444
one_of_my_favorite,466,things,35,0.0751072961373391
sure_to_check_out,119,the,35,0.294117647058824
thanks_for_letting_me,53,know,35,0.660377358490566
thanks_to_all_who,98,came,35,0.357142857142857
to_get_rid_of,186,the,35,0.188172043010753
what_are_you_talking,36,about,35,0.972222222222222
what_are_you_waiting,36,for,35,0.972222222222222
would_love_to_have,84,you,35,0.416666666666667
be_able_to_make,80,it,34,0.425
be_the_death_of,34,me,34,1
but_when_it_comes,42,to,34,0.80952380952381
do_you_want_me,35,to,34,0.971428571428571
don't_have_to_worry,37,about,34,0.918918918918919
for_the_first_time,884,ever,34,0.0384615384615385
hey_thanks_for_the,68,follow,34,0.5
in_a_couple_of,98,weeks,34,0.346938775510204
love_to_hear_from,43,you,34,0.790697674418605
spent_a_lot_of,42,time,34,0.80952380952381
the_second_half_of,54,the,34,0.62962962962963
the_university_of_chicago,59,chicago,34,0.576271186440678
this_is_one_of,170,my,34,0.2
